ImageId, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, AspectRatio, FocalLength, RadialDistortionK1, RadialDistortionK2
30, -4.73848, -3.56592, 0.206675, -0.140484248528222, 1.5416450441569, -2.40705453458542, 1.33333, 0.820298, 0.0232286, -0.023555
31, -4.78208, -3.58076, 0.199864, 0.124326621688977, 1.66050769680001, -2.5950950503604, 1.33333, 0.819522, 0.0242615, -0.0244689
32, -4.89413, -3.59323, 0.182164, -0.352962050619627, -1.5777592632823, 2.43929820259016, 1.33333, 0.817582, 0.022909, -0.0225115
33, -4.94827, -3.53011, 0.200206, -0.534671284146837, -1.34062401291104, 2.22649086457683, 1.33333, 0.81925, 0.0237359, -0.0237237
34, -4.98089, -3.48872, 0.206595, -0.530509263821764, -1.13073028511227, 1.96683773666776, 1.33333, 0.818004, 0.0232715, -0.0230739
35, -5.00514, -3.45826, 0.198422, -0.652591574264246, -1.0969984295178, 1.77764219828963, 1.33333, 0.817724, 0.0240098, -0.0234639
36, -5.01474, -3.37779, 0.201046, -0.806607637987155, -0.884398383726353, 1.4958686831589, 1.33333, 0.817575, 0.0231457, -0.0213778
37, -4.98387, -3.34407, 0.213754, -0.820228151938782, -0.656879029234935, 1.20889817967712, 1.33333, 0.817159, 0.023156, -0.022273
38, -4.95371, -3.24743, 0.213151, -0.914267858794503, -0.47920966586502, 0.763786172723734, 1.33333, 0.818393, 0.0230109, -0.0225432
39, -5.00554, -3.23439, 0.212051, -1.12100954710869, -0.339662459376691, 0.470075935632922, 1.33333, 0.816584, 0.0236238, -0.024125
40, -4.98289, -3.24199, 0.223147, -0.95601835829242, -0.276202162899128, 0.469727618081518, 1.33333, 0.817793, 0.0223751, -0.021649
41, -4.95303, -3.20192, 0.18166, -1.19271099429514, -0.219246097365706, 0.316782367961163, 1.33333, 0.816194, 0.0232554, -0.0235303
42, -4.90837, -3.21424, 0.219209, -1.07897063921187, -0.135764789801287, 0.267342178160664, 1.33333, 0.815541, 0.0225852, -0.0224025
43, -4.78619, -3.20148, 0.19869, -1.1364702943627, 0.0510437082934116, -0.0600564166945318, 1.33333, 0.816711, 0.0216522, -0.0213081
44, -4.76875, -3.27293, 0.269445, -0.844480039027954, 0.067037245130692, -0.0730113896864529, 1.33333, 0.814293, 0.0215392, -0.0216421
